station_name,covered_by
2nd St at Folsom St,West Oakland BART Station
San Francisco Ferry Building (Harry Bridges Plaza),Lafayette Park (Laguna St at Washington St)
San Francisco Ferry Building (Harry Bridges Plaza),Balboa Park (San Jose Ave at Sgt. John V. Young Ln
San Francisco Ferry Building (Harry Bridges Plaza),Onondaga Ave at Alemany Blvd
San Francisco Ferry Building (Harry Bridges Plaza),North Point St at Divisadero St
San Francisco Ferry Building (Harry Bridges Plaza),Filbert St at Fillmore St
San Francisco Ferry Building (Harry Bridges Plaza),Geneva Ave at Moscow St
San Francisco Ferry Building (Harry Bridges Plaza),Allyne Park (Green St at Gough St)
San Francisco Ferry Building (Harry Bridges Plaza),Fillmore St at Jefferson St
San Francisco Ferry Building (Harry Bridges Plaza),Glen Park BART Station
San Francisco Ferry Building (Harry Bridges Plaza),24th St at Bartlett St
San Francisco Ferry Building (Harry Bridges Plaza),Otis St at Brady St
San Francisco Ferry Building (Harry Bridges Plaza),Buchanan St at North Point St
San Francisco Ferry Building (Harry Bridges Plaza),2nd St at Folsom St
San Francisco Ferry Building (Harry Bridges Plaza),The Embarcadero at Pier 38
San Francisco Ferry Building (Harry Bridges Plaza),Front St at California St
San Francisco Ferry Building (Harry Bridges Plaza),5th St at Brannan St
San Francisco Ferry Building (Harry Bridges Plaza),Washington St at Van Ness Ave
San Francisco Ferry Building (Harry Bridges Plaza),16th St Mission BART
San Francisco Ferry Building (Harry Bridges Plaza),Terry Francois Blvd at Warriors Way
San Francisco Ferry Building (Harry Bridges Plaza),Haight St at Lyon St
San Francisco Ferry Building (Harry Bridges Plaza),Gennessee St at Monterey Blvd
San Francisco Ferry Building (Harry Bridges Plaza),Victoria Manalo Draves Park
San Francisco Ferry Building (Harry Bridges Plaza),Mint St at Mission St
San Francisco Ferry Building (Harry Bridges Plaza),Broadway at Kearny St
San Francisco Ferry Building (Harry Bridges Plaza),Guerrero Park
San Francisco Ferry Building (Harry Bridges Plaza),29th St at Church St
San Francisco Ferry Building (Harry Bridges Plaza),Cesar Chavez St at Dolores St
San Francisco Ferry Building (Harry Bridges Plaza),Utah St at 24th St
San Francisco Ferry Building (Harry Bridges Plaza),22nd St at Potrero Ave
San Francisco Ferry Building (Harry Bridges Plaza),20th St at Bryant St
San Francisco Ferry Building (Harry Bridges Plaza),18th St at Noe St
San Francisco Ferry Building (Harry Bridges Plaza),30th St at San Jose Ave
San Francisco Ferry Building (Harry Bridges Plaza),Precita Park
San Francisco Ferry Building (Harry Bridges Plaza),Indiana St at Cesar Chavez St
San Francisco Ferry Building (Harry Bridges Plaza),Williams Ave at Apollo St
San Francisco Ferry Building (Harry Bridges Plaza),Evans Ave at Mendell St
San Francisco Ferry Building (Harry Bridges Plaza),7th St at Brannan St
San Francisco Ferry Building (Harry Bridges Plaza),38th Ave at Balboa St
San Francisco Ferry Building (Harry Bridges Plaza),21st Ave at Geary Blvd
San Francisco Ferry Building (Harry Bridges Plaza),San Francisco Caltrain Station (King St at 4th St)
San Francisco Ferry Building (Harry Bridges Plaza),Howard St at 2nd St
San Francisco Ferry Building (Harry Bridges Plaza),Bryant St at 6th St
San Francisco Ferry Building (Harry Bridges Plaza),11th St at Natoma St
San Francisco Ferry Building (Harry Bridges Plaza),Brannan St at 4th St
San Francisco Ferry Building (Harry Bridges Plaza),Folsom St at 7th St
San Francisco Ferry Building (Harry Bridges Plaza),Arguello Blvd at Geary Blvd
